"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","year","id"
"237",21507782,9372815,26854214,3078558,35991007,96804376,17819198,14691090,13006119,17770690,7025458,70312555,2020,13
"238",28656986,12651495,11274168,8237185,34553407,95373241,6427647,33179317,4658200,12961636,23135002,80361802,2020,14
"239",29615000,10071475,15878580,12711179,26828544,95104778,15509386,14776363,14017409,6835585,16940411,68079154,2020,15
"240",7882344,10305900,37184947,9965411,27247745,92586347,29271973,4182486,5961669,13144334,27676010,80236472,2020,16
"241",8405304,13923430,23880958,7419447,35630875,89260014,24137314,7323895,16794724,14908372,13037624,76201929,2020,17
"242",13077156,7122592,19513770,16077000,32040903,87831421,8722061,37402743,15450481,8080983,22250416,91906684,2020,18
"243",29697964,4617451,16494036,12714317,22942443,86466211,33835477,12064881,3154812,6219689,12460591,67735450,2020,19
"244",16294775,5188323,25075558,10102779,29765996,86427431,23369611,34953918,11570430,7673452,22163187,99730598,2020,20
"245",15601427,12031841,16714487,2979798,35976093,83303646,26270183,11266370,13111927,8963659,4327671,63939810,2020,21
"246",23776471,4561066,17671718,10449973,22917842,79377070,8469068,26497026,16088641,8317073,27875270,87247078,2020,22
