"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","control","total","year","id"
"204",11793235,2907359,31309352,14444000,29040221,89494167,2636098,35030070,4862403,9200559,21669013,73398143,151099075,162892310,2019,12
"205",28405163,8989981,16166352,8759798,26599108,88920402,7672043,11674925,14231925,8300429,5000958,46880280,107395519,135800682,2019,13
"206",29905000,4409766,22442158,6058384,24116130,86931438,15106796,23691333,12871959,15018703,27075664,93764455,150790893,180695893,2019,14
"207",11765577,12126193,26412655,4228642,31811467,86344534,30585660,17851822,6129397,9800904,11806937,76174720,150753677,162519254,2019,15
"208",31930059,2307429,17465459,6730065,27129944,85562956,15087044,9609031,15306901,5017157,23637112,68657245,122290142,154220201,2019,16
"209",9288808,6758058,25947032,12691900,30594087,85279885,7958341,13963072,11996608,14285030,9297683,57500734,133491811,142780619,2019,17
"210",18063000,9484109,15332230,5258881,36609416,84747636,17244922,10698868,21102931,10218404,17012133,76277258,142961894,161024894,2019,18
"211",26996766,5035413,12335319,6730075,33430896,84528469,5120514,21581217,27139216,10653670,4300635,68795252,126326955,153323721,2019,19
"212",14278779,5468274,19997045,7822805,36444965,84011868,17465235,11566811,7692784,20577441,9679240,66981511,136714600,150993379,2019,20
"213",22535204,12229419,20229111,2677268,23741152,81412154,6821358,10952860,17073342,27918225,18863654,81629439,140506389,163041593,2019,21
"214",9491711,11432801,19374147,3093662,35809241,79201562,19018512,5465480,25047180,11243424,22098745,82873341,152583192,162074903,2019,22
"215",27991392,1766913,4570576,8105668,36091768,78526317,31563825,14409336,13056501,5534972,18112322,82676956,133211881,161203273,2019,23
